frame,left_detected,right_detected,both_detected,geometry_ok,lane_width_px
0,True,True,True,True,323
1,True,True,True,True,323
2,True,True,True,True,323
3,True,True,True,True,323
4,True,True,True,True,323
5,True,True,True,True,323
6,True,True,True,True,323
7,True,True,True,True,323
8,True,True,True,True,323
9,True,True,True,True,323
10,True,True,True,True,323
11,True,True,True,True,323
12,True,True,True,True,323
13,True,True,True,True,323
14,True,True,True,True,323
15,True,True,True,True,323
16,True,True,True,True,327
17,True,True,True,True,324
18,True,True,True,True,321
19,True,True,True,True,321
20,True,True,True,True,323
21,True,True,True,True,320
22,True,True,True,True,318
23,True,True,True,True,321
24,True,True,True,True,321
25,True,True,True,True,319
26,True,True,True,True,320
27,True,True,True,True,316
28,True,True,True,True,317
29,True,True,True,True,313
30,True,True,True,True,312
31,True,True,True,True,313
32,True,True,True,True,314
33,True,True,True,True,315
34,True,True,True,True,320
35,True,True,True,True,324
36,True,True,True,True,327
37,True,True,True,True,329
38,True,True,True,True,329
39,True,True,True,True,328
40,True,True,True,True,332
41,True,True,True,True,337
42,True,True,True,True,342
43,True,True,True,True,342
44,True,True,True,True,345
45,True,True,True,True,344
46,True,True,True,True,345
47,True,True,True,True,346
48,True,True,True,True,346
49,True,True,True,True,344
50,True,True,True,True,343
51,True,True,True,True,343
52,True,True,True,True,341
53,True,True,True,True,343
54,True,True,True,True,339
55,True,True,True,True,339
56,True,True,True,True,340
57,True,True,True,True,341
58,True,True,True,True,342
59,True,True,True,True,342
60,True,True,True,True,342
61,True,True,True,True,342
62,True,True,True,True,342
63,True,True,True,True,340
64,True,True,True,True,340
65,True,True,True,True,341
66,True,True,True,True,341
67,True,True,True,True,341
68,True,True,True,True,341
69,True,True,True,True,341
70,True,True,True,True,338
71,True,True,True,True,338
72,True,True,True,True,329
73,True,True,True,True,326
74,True,True,True,True,326
75,True,True,True,True,326
76,True,True,True,True,330
77,True,True,True,True,330
78,True,True,True,True,333
79,True,True,True,True,334
80,True,True,True,True,335
81,True,True,True,True,335
82,True,True,True,True,336
83,True,True,True,True,336
84,True,True,True,True,336
85,True,True,True,True,336
86,True,True,True,True,336
87,True,True,True,True,332
88,True,True,True,True,329
89,True,True,True,True,323
90,True,True,True,True,319
91,True,True,True,True,314
92,True,True,True,True,313
93,True,True,True,True,316
94,True,True,True,True,318
95,True,True,True,True,314
96,True,True,True,True,312
97,True,True,True,True,315
98,True,True,True,True,318
99,True,True,True,True,315
100,True,True,True,True,314
101,True,True,True,True,316
102,True,True,True,True,317
103,True,True,True,True,319
104,True,True,True,True,318
105,True,True,True,True,320
106,True,True,True,True,321
107,True,True,True,True,321
108,True,True,True,True,318
109,True,True,True,True,318
110,True,True,True,True,317
111,True,True,True,True,320
112,True,True,True,True,319
113,True,True,True,True,318
114,True,True,True,True,312
115,True,True,True,True,318
116,True,True,True,True,321
117,True,True,True,True,323
118,True,True,True,True,320
119,True,True,True,True,318
120,True,True,True,True,318
121,True,True,True,True,321
122,True,True,True,True,325
123,True,True,True,True,327
124,True,True,True,True,327
125,True,True,True,True,326
126,True,True,True,True,324
127,True,True,True,True,314
128,True,True,True,True,312
129,True,True,True,True,316
130,True,True,True,True,317
131,True,True,True,True,315
132,True,True,True,True,316
133,True,True,True,True,316
134,True,True,True,True,313
135,True,True,True,True,313
136,True,True,True,True,311
137,True,True,True,True,312
138,True,True,True,True,313
139,True,True,True,True,315
140,True,True,True,True,315
141,True,True,True,True,311
142,True,True,True,True,309
143,True,True,True,True,309
